"","time","cod","trel"
"614",119580,20.6000003814697,-8.78333333333333
"615",119640,16.5100002288818,-8.76666666666667
"616",119700,12.8900003433228,-8.75
"617",119760,10.4499998092651,-8.73333333333333
"618",119820,8.75,-8.71666666666667
"619",119880,7.17000007629395,-8.7
"620",119940,7.59000015258789,-8.68333333333333
"621",120000,8,-8.66666666666667
"622",120060,8.46000003814697,-8.65
"623",120120,9.73999977111816,-8.63333333333333
"624",120180,12.539999961853,-8.61666666666667
"625",120240,25.3600006103516,-8.6
"626",120300,33.2599983215332,-8.58333333333333
"627",120360,40.6599998474121,-8.56666666666667
"628",120420,31.5,-8.55
"629",120480,35.0800018310547,-8.53333333333333
"630",120540,39.060001373291,-8.51666666666667
"631",120600,67.879997253418,-8.5
"632",120660,76.4300003051758,-8.48333333333333
"633",120720,87.7900009155273,-8.46666666666667
"634",120780,101.870002746582,-8.45
"635",120840,117.379997253418,-8.43333333333333
"636",120900,137.259994506836,-8.41666666666667
"637",120960,165.089996337891,-8.4
"638",121020,180.059997558594,-8.38333333333333
"639",121080,192.369995117188,-8.36666666666667
"640",121140,185.240005493164,-8.35
"641",121200,190.889999389648,-8.33333333333333
"642",121260,119.839996337891,-8.31666666666667
"643",121320,187.820007324219,-8.3
"644",121380,174.669998168945,-8.28333333333333
"645",121440,110.129997253418,-8.26666666666667
"646",121500,95.9899978637695,-8.25
"647",121560,91.4800033569336,-8.23333333333333
"648",121620,80.6500015258789,-8.21666666666667
"649",121680,72.4100036621094,-8.2
"650",121740,65.4100036621094,-8.18333333333333
"651",121800,60.0900001525879,-8.16666666666667
"652",121860,53.5099983215332,-8.15
"653",121920,50.9700012207031,-8.13333333333333
"654",121980,47.4099998474121,-8.11666666666667
"655",122040,47.7200012207031,-8.1
"656",122100,46.9900016784668,-8.08333333333333
"657",122160,47.7799987792969,-8.06666666666667
"658",122220,45.4599990844727,-8.05
"659",122280,43.1300010681152,-8.03333333333333
"660",122340,42.0900001525879,-8.01666666666667
"661",122400,39.2599983215332,-8
"662",122460,36.3899993896484,-7.98333333333333
"663",122520,33.3400001525879,-7.96666666666667
"664",122580,29.8600006103516,-7.95
"665",122640,24.2600002288818,-7.93333333333333
"666",122700,20.5499992370605,-7.91666666666667
"667",122760,18.0300006866455,-7.9
"668",122820,15.4300003051758,-7.88333333333333
"669",122880,12.3400001525879,-7.86666666666667
"670",122940,5.76000022888184,-7.85
"671",123000,0,-7.83333333333333
"672",123060,0,-7.81666666666667
"673",123120,0,-7.8
"674",123180,0,-7.78333333333333
"675",123240,2.03999996185303,-7.76666666666667
"676",123300,5.32000017166138,-7.75
"677",123360,7.84999990463257,-7.73333333333333
"678",123420,11.1000003814697,-7.71666666666667
"679",123480,13.5600004196167,-7.7
"680",123540,25.1800003051758,-7.68333333333333
"681",123600,30.0300006866455,-7.66666666666667
"682",123660,22.4799995422363,-7.65
"683",123720,24,-7.63333333333333
"684",123780,25.4300003051758,-7.61666666666667
"685",123840,26.3400001525879,-7.6
"686",123900,24.7800006866455,-7.58333333333333
"687",123960,25.0100002288818,-7.56666666666667
"688",124020,23.8500003814697,-7.55
"689",124080,21.3600006103516,-7.53333333333333
"690",124140,19.4099998474121,-7.51666666666667
"691",124200,17.2099990844727,-7.5
"692",124260,16.2800006866455,-7.48333333333333
"693",124320,16,-7.46666666666667
"694",124380,16.2700004577637,-7.45
"695",124440,17.8299999237061,-7.43333333333333
"696",124500,20.7000007629395,-7.41666666666667
"697",124560,25.9699993133545,-7.4
"698",124620,54.0999984741211,-7.38333333333333
"699",124680,74.7099990844727,-7.36666666666667
"700",124740,100,-7.35
"701",124800,105.580001831055,-7.33333333333333
"702",124860,90,-7.31666666666667
"703",124920,82.9400024414062,-7.3
"704",124980,80.9400024414062,-7.28333333333333
"705",125040,117.669998168945,-7.26666666666667
"706",125100,121.029998779297,-7.25
"707",125160,124.23999786377,-7.23333333333333
"708",125220,130.320007324219,-7.21666666666667
"709",125280,155.360000610352,-7.2
"710",125340,161.479995727539,-7.18333333333333
"711",125400,166.740005493164,-7.16666666666667
"712",125460,175.970001220703,-7.15
"713",125520,147.139999389648,-7.13333333333333
"714",125580,122.160003662109,-7.11666666666667
"715",125640,102.389999389648,-7.1
"716",125700,87.4400024414062,-7.08333333333333
"717",125760,74.0999984741211,-7.06666666666667
"718",125820,62.5699996948242,-7.05
"719",125880,28.1700000762939,-7.03333333333333
"720",125940,23.3700008392334,-7.01666666666667
"721",126000,20.4099998474121,-7
"722",126060,17.5400009155273,-6.98333333333333
"723",126120,15.6599998474121,-6.96666666666667
"724",126180,14.2600002288818,-6.95
"725",126240,13.0900001525879,-6.93333333333333
"726",126300,12.6099996566772,-6.91666666666667
"727",126360,12.3699998855591,-6.9
"728",126420,13.1800003051758,-6.88333333333333
"729",126480,22.2299995422363,-6.86666666666667
"730",126540,24.6900005340576,-6.85
"731",126600,29.8799991607666,-6.83333333333333
"732",126660,36.7200012207031,-6.81666666666667
"733",126720,42.1399993896484,-6.8
"734",126780,50.0099983215332,-6.78333333333333
"735",126840,59.0299987792969,-6.76666666666667
"736",126900,78.120002746582,-6.75
"737",126960,105.900001525879,-6.73333333333333
"738",127020,155.660003662109,-6.71666666666667
"739",127080,241,-6.7
"740",127140,381.540008544922,-6.68333333333333
"741",127200,424.309997558594,-6.66666666666667
"742",127260,428.709991455078,-6.65
"743",127320,454.779998779297,-6.63333333333333
"744",127380,416.019989013672,-6.61666666666667
"745",127440,323.880004882812,-6.6
"746",127500,233.649993896484,-6.58333333333333
"747",127560,179.860000610352,-6.56666666666667
"748",127620,150.660003662109,-6.55
"749",127680,137.020004272461,-6.53333333333333
"750",127740,77.870002746582,-6.51666666666667
"751",127800,69.1399993896484,-6.5
"752",127860,62.8300018310547,-6.48333333333333
"753",127920,57.2799987792969,-6.46666666666667
"754",127980,52.2000007629395,-6.45
"755",128040,50.25,-6.43333333333333
"756",128100,50.0200004577637,-6.41666666666667
"757",128160,50.2700004577637,-6.4
"758",128220,51.8800010681152,-6.38333333333333
"759",128280,56.2000007629395,-6.36666666666667
"760",128340,60.7299995422363,-6.35
"761",128400,60.9099998474121,-6.33333333333333
"762",128460,62.6199989318848,-6.31666666666667
"763",128520,58.7799987792969,-6.3
"764",128580,56.6500015258789,-6.28333333333333
"765",128640,52.060001373291,-6.26666666666667
"766",128700,47.3400001525879,-6.25
"767",128760,43.3699989318848,-6.23333333333333
"768",128820,40.2900009155273,-6.21666666666667
"769",128880,37.939998626709,-6.2
