"","time","lwp","cth","trel"
"584",2332,NA,4930,-17.3522222222222
"585",2336,NA,4930,-17.3511111111111
"586",2340,NA,4930,-17.35
"587",2344,NA,4930,-17.3488888888889
"588",2348,NA,4930,-17.3477777777778
"589",2352,NA,4930,-17.3466666666667
"590",2356,NA,4930,-17.3455555555556
"591",2360,NA,4930,-17.3444444444444
"592",2364,NA,4930,-17.3433333333333
"593",2368,NA,4930,-17.3422222222222
"594",2372,NA,4930,-17.3411111111111
"595",2376,NA,4930,-17.34
"596",2380,NA,4930,-17.3388888888889
"597",2384,NA,4960,-17.3377777777778
"598",2388,NA,4960,-17.3366666666667
"599",2392,NA,4960,-17.3355555555556
"600",2396,NA,4960,-17.3344444444444
"601",2400,NA,4960,-17.3333333333333
"602",2404,NA,4960,-17.3322222222222
"603",2408,NA,4960,-17.3311111111111
"604",2412,NA,4990,-17.33
"605",2416,NA,4990,-17.3288888888889
"606",2420,NA,4990,-17.3277777777778
"607",2424,NA,4990,-17.3266666666667
"608",2428,NA,4990,-17.3255555555556
"609",2432,NA,4990,-17.3244444444444
"610",2436,NA,4990,-17.3233333333333
"611",2440,NA,4990,-17.3222222222222
"612",2444,NA,4990,-17.3211111111111
"613",2448,NA,4990,-17.32
"614",2452,NA,4990,-17.3188888888889
"615",2456,NA,4990,-17.3177777777778
"616",2460,NA,4990,-17.3166666666667
"617",2464,NA,4990,-17.3155555555556
"618",2468,NA,4990,-17.3144444444444
"619",2472,26.6806945800781,4990,-17.3133333333333
"620",2476,26.6806945800781,4990,-17.3122222222222
"621",2480,26.6806945800781,4990,-17.3111111111111
"622",2484,26.6806945800781,4990,-17.31
"623",2488,26.6806945800781,4990,-17.3088888888889
"624",2492,21.9028224945068,4990,-17.3077777777778
"625",2496,21.9028224945068,4990,-17.3066666666667
"626",2500,21.9028224945068,4990,-17.3055555555556
"627",2504,21.9028224945068,4990,-17.3044444444444
"628",2508,21.9028224945068,4990,-17.3033333333333
"629",2512,56.2123832702637,4990,-17.3022222222222
"630",2516,56.2123832702637,4990,-17.3011111111111
"631",2520,56.2123832702637,4990,-17.3
"632",2524,56.2123832702637,4990,-17.2988888888889
"633",2528,56.2123832702637,4990,-17.2977777777778
"634",2532,64.4578475952148,5020,-17.2966666666667
"635",2536,64.4578475952148,5020,-17.2955555555556
"636",2540,64.4578475952148,5020,-17.2944444444444
"637",2544,64.4578475952148,5020,-17.2933333333333
"638",2548,64.4578475952148,5020,-17.2922222222222
"639",2552,45.7074356079102,5020,-17.2911111111111
